,name,stationid,lat,lon,Unnamed: 0,End Date,counts
0,"River Street , Clerkenwell",1,51.52916347,-0.109970527,1199,2020-12-30 10:00:00,1
1,"River Street , Clerkenwell",1,51.52916347,-0.109970527,1546,2020-12-30 11:00:00,2
2,"River Street , Clerkenwell",1,51.52916347,-0.109970527,3196,2020-12-30 14:00:00,3
3,"River Street , Clerkenwell",1,51.52916347,-0.109970527,3852,2020-12-30 15:00:00,2
4,"River Street , Clerkenwell",1,51.52916347,-0.109970527,4449,2020-12-30 16:00:00,2
5,"River Street , Clerkenwell",1,51.52916347,-0.109970527,6203,2020-12-30 20:00:00,1
6,"River Street , Clerkenwell",1,51.52916347,-0.109970527,8911,2020-12-31 12:00:00,2
7,"River Street , Clerkenwell",1,51.52916347,-0.109970527,9566,2020-12-31 13:00:00,1
8,"River Street , Clerkenwell",1,51.52916347,-0.109970527,10102,2020-12-31 14:00:00,1
9,"River Street , Clerkenwell",1,51.52916347,-0.109970527,11176,2020-12-31 16:00:00,1
10,"River Street , Clerkenwell",1,51.52916347,-0.109970527,11941,2020-12-31 18:00:00,2
11,"River Street , Clerkenwell",1,51.52916347,-0.109970527,14292,2021-01-01 04:00:00,2
12,"River Street , Clerkenwell",1,51.52916347,-0.109970527,14567,2021-01-01 08:00:00,1
13,"River Street , Clerkenwell",1,51.52916347,-0.109970527,14830,2021-01-01 10:00:00,1
14,"River Street , Clerkenwell",1,51.52916347,-0.109970527,15004,2021-01-01 11:00:00,2
15,"River Street , Clerkenwell",1,51.52916347,-0.109970527,15843,2021-01-01 13:00:00,1
16,"River Street , Clerkenwell",1,51.52916347,-0.109970527,16149,2021-01-01 14:00:00,2
17,"River Street , Clerkenwell",1,51.52916347,-0.109970527,17062,2021-01-01 16:00:00,2
18,"River Street , Clerkenwell",1,51.52916347,-0.109970527,20259,2021-01-02 12:00:00,3
19,"River Street , Clerkenwell",1,51.52916347,-0.109970527,20934,2021-01-02 13:00:00,2
20,"River Street , Clerkenwell",1,51.52916347,-0.109970527,21573,2021-01-02 14:00:00,2
21,"River Street , Clerkenwell",1,51.52916347,-0.109970527,22155,2021-01-02 15:00:00,3
22,"River Street , Clerkenwell",1,51.52916347,-0.109970527,22666,2021-01-02 16:00:00,4
23,"River Street , Clerkenwell",1,51.52916347,-0.109970527,24158,2021-01-02 19:00:00,1
24,"River Street , Clerkenwell",1,51.52916347,-0.109970527,26292,2021-01-03 11:00:00,1
25,"River Street , Clerkenwell",1,51.52916347,-0.109970527,26818,2021-01-03 12:00:00,1
26,"River Street , Clerkenwell",1,51.52916347,-0.109970527,27436,2021-01-03 13:00:00,1
27,"River Street , Clerkenwell",1,51.52916347,-0.109970527,28460,2021-01-03 15:00:00,2
28,"River Street , Clerkenwell",1,51.52916347,-0.109970527,29385,2021-01-03 17:00:00,1
29,"River Street , Clerkenwell",1,51.52916347,-0.109970527,29978,2021-01-03 19:00:00,1
30,"River Street , Clerkenwell",1,51.52916347,-0.109970527,33282,2021-01-04 13:00:00,1
31,"River Street , Clerkenwell",1,51.52916347,-0.109970527,33896,2021-01-04 15:00:00,2
32,"River Street , Clerkenwell",1,51.52916347,-0.109970527,34453,2021-01-04 16:00:00,1
33,"River Street , Clerkenwell",1,51.52916347,-0.109970527,35304,2021-01-04 18:00:00,2
34,"River Street , Clerkenwell",1,51.52916347,-0.109970527,38662,2021-01-05 11:00:00,1
35,"River Street , Clerkenwell",1,51.52916347,-0.109970527,40114,2021-01-05 15:00:00,1
36,"River Street , Clerkenwell",1,51.52916347,-0.109970527,40487,2021-01-05 16:00:00,1
37,"River Street , Clerkenwell",1,51.52916347,-0.109970527,42233,2021-01-05 21:00:00,1
38,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,187,2020-12-30 04:00:00,1
39,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,1095,2020-12-30 10:00:00,2
40,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,1497,2020-12-30 11:00:00,3
41,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,2003,2020-12-30 12:00:00,3
42,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,2428,2020-12-30 13:00:00,10
43,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,3197,2020-12-30 14:00:00,3
44,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,3573,2020-12-30 15:00:00,13
45,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,4254,2020-12-30 16:00:00,5
46,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,4930,2020-12-30 17:00:00,2
47,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,5369,2020-12-30 18:00:00,2
48,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,7490,2020-12-31 08:00:00,1
49,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,7989,2020-12-31 10:00:00,3
50,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,8368,2020-12-31 11:00:00,3
51,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,8803,2020-12-31 12:00:00,4
52,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,9431,2020-12-31 13:00:00,2
53,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,9793,2020-12-31 14:00:00,7
54,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,10348,2020-12-31 15:00:00,5
55,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,10865,2020-12-31 16:00:00,6
56,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,12052,2020-12-31 18:00:00,1
57,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,12401,2020-12-31 19:00:00,1
58,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,12918,2020-12-31 21:00:00,3
59,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,14659,2021-01-01 09:00:00,2
60,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,14967,2021-01-01 11:00:00,4
61,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,15265,2021-01-01 12:00:00,3
62,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,15664,2021-01-01 13:00:00,3
63,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,16279,2021-01-01 14:00:00,1
64,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,16561,2021-01-01 15:00:00,3
65,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,17063,2021-01-01 16:00:00,2
66,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,17818,2021-01-01 18:00:00,1
67,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,18061,2021-01-01 19:00:00,1
68,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,19124,2021-01-02 08:00:00,1
69,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,19754,2021-01-02 11:00:00,4
70,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,20260,2021-01-02 12:00:00,3
71,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,20692,2021-01-02 13:00:00,7
72,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,21405,2021-01-02 14:00:00,4
73,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,23234,2021-01-02 17:00:00,3
74,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,23800,2021-01-02 18:00:00,1
75,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,24457,2021-01-02 20:00:00,1
76,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,25501,2021-01-03 08:00:00,1
77,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,25799,2021-01-03 10:00:00,3
78,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,26100,2021-01-03 11:00:00,5
79,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,26509,2021-01-03 12:00:00,8
80,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,27131,2021-01-03 13:00:00,4
81,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,27923,2021-01-03 14:00:00,2
82,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,28603,2021-01-03 15:00:00,1
83,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,31261,2021-01-04 07:00:00,1
84,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,31528,2021-01-04 08:00:00,2
85,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,32602,2021-01-04 11:00:00,1
86,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,32933,2021-01-04 12:00:00,1
87,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,33184,2021-01-04 13:00:00,2
88,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,33858,2021-01-04 15:00:00,3
89,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,34333,2021-01-04 16:00:00,2
90,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,34761,2021-01-04 17:00:00,3
91,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,35433,2021-01-04 18:00:00,1
92,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,35730,2021-01-04 19:00:00,2
93,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,37303,2021-01-05 07:00:00,1
94,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,37500,2021-01-05 08:00:00,4
95,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,38035,2021-01-05 09:00:00,1
96,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,38663,2021-01-05 11:00:00,1
97,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,39008,2021-01-05 12:00:00,1
98,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,39777,2021-01-05 14:00:00,1
99,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,39993,2021-01-05 15:00:00,3
100,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,41736,2021-01-05 19:00:00,1
101,"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,42424,2021-01-05 22:00:00,1
102,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,247,2020-12-30 06:00:00,2
103,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,2086,2020-12-30 12:00:00,2
104,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,2808,2020-12-30 13:00:00,1
105,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,4597,2020-12-30 16:00:00,1
106,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,7757,2020-12-31 09:00:00,1
107,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,8117,2020-12-31 10:00:00,1
108,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,10648,2020-12-31 15:00:00,1
109,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,24888,2021-01-02 22:00:00,1
110,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,26293,2021-01-03 11:00:00,1
111,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,27437,2021-01-03 13:00:00,1
112,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,28604,2021-01-03 15:00:00,1
113,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,30989,2021-01-04 06:00:00,2
114,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,31178,2021-01-04 07:00:00,2
115,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,31491,2021-01-04 08:00:00,3
116,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,32018,2021-01-04 09:00:00,1
117,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,32304,2021-01-04 10:00:00,1
118,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,32603,2021-01-04 11:00:00,1
119,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,34963,2021-01-04 17:00:00,1
120,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,37029,2021-01-05 06:00:00,3
121,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,37228,2021-01-05 07:00:00,2
122,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,37659,2021-01-05 08:00:00,1
123,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,38664,2021-01-05 11:00:00,1
124,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,39009,2021-01-05 12:00:00,1
125,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,40786,2021-01-05 17:00:00,2
126,"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,41355,2021-01-05 18:00:00,1
127,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,825,2020-12-30 09:00:00,1
128,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,2809,2020-12-30 13:00:00,1
129,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,5735,2020-12-30 19:00:00,3
130,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,6204,2020-12-30 20:00:00,1
131,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,6663,2020-12-30 22:00:00,1
132,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,10649,2020-12-31 15:00:00,1
133,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,11177,2020-12-31 16:00:00,1
134,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,11639,2020-12-31 17:00:00,1
135,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,12053,2020-12-31 18:00:00,1
136,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,12617,2020-12-31 20:00:00,3
137,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,12990,2020-12-31 21:00:00,1
138,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,13226,2020-12-31 22:00:00,1
139,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,13666,2021-01-01 00:00:00,1
140,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,14064,2021-01-01 02:00:00,1
141,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,15725,2021-01-01 13:00:00,2
142,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,16150,2021-01-01 14:00:00,2
143,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,17528,2021-01-01 17:00:00,1
144,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,19125,2021-01-02 08:00:00,1
145,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,20451,2021-01-02 12:00:00,1
146,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,21574,2021-01-02 14:00:00,2
147,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,23301,2021-01-02 17:00:00,2
148,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,23643,2021-01-02 18:00:00,3
149,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,24372,2021-01-02 20:00:00,2
150,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,24889,2021-01-02 22:00:00,1
151,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,25502,2021-01-03 08:00:00,1
152,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,25640,2021-01-03 09:00:00,1
153,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,25900,2021-01-03 10:00:00,1
154,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,27198,2021-01-03 13:00:00,3
155,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,28254,2021-01-03 15:00:00,5
156,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,29678,2021-01-03 18:00:00,1
157,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,30564,2021-01-03 22:00:00,1
158,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,31262,2021-01-04 07:00:00,1
159,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,31639,2021-01-04 08:00:00,1
160,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,32853,2021-01-04 12:00:00,2
161,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,34964,2021-01-04 17:00:00,1
162,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,35434,2021-01-04 18:00:00,1
163,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,35833,2021-01-04 19:00:00,1
164,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,36053,2021-01-04 20:00:00,3
165,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,36362,2021-01-04 21:00:00,1
166,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,36714,2021-01-04 23:00:00,1
167,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,40115,2021-01-05 15:00:00,1
168,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,40787,2021-01-05 17:00:00,2
169,"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,41737,2021-01-05 19:00:00,1
