,Start Date,stationid,counts
0,2020-12-30 00:00:00,95,5
1,2020-12-30 00:00:00,419,5
2,2020-12-30 00:00:00,818,5
3,2020-12-30 00:00:00,252,4
4,2020-12-30 00:00:00,273,4
5,2020-12-30 00:00:00,698,4
6,2020-12-30 00:00:00,703,4
7,2020-12-30 00:00:00,839,4
8,2020-12-30 00:00:00,154,3
9,2020-12-30 00:00:00,480,3
10,2020-12-30 00:00:00,615,3
11,2020-12-30 00:00:00,800,3
12,2020-12-30 00:00:00,29,2
13,2020-12-30 00:00:00,80,2
14,2020-12-30 00:00:00,97,2
15,2020-12-30 00:00:00,114,2
16,2020-12-30 00:00:00,117,2
17,2020-12-30 00:00:00,130,2
18,2020-12-30 00:00:00,135,2
19,2020-12-30 00:00:00,175,2
20,2020-12-30 00:00:00,219,2
21,2020-12-30 00:00:00,247,2
22,2020-12-30 00:00:00,291,2
23,2020-12-30 00:00:00,347,2
24,2020-12-30 00:00:00,478,2
25,2020-12-30 00:00:00,524,2
26,2020-12-30 00:00:00,552,2
27,2020-12-30 00:00:00,639,2
28,2020-12-30 00:00:00,4,1
29,2020-12-30 00:00:00,11,1
30,2020-12-30 00:00:00,43,1
31,2020-12-30 00:00:00,51,1
32,2020-12-30 00:00:00,101,1
33,2020-12-30 00:00:00,141,1
34,2020-12-30 00:00:00,144,1
35,2020-12-30 00:00:00,206,1
36,2020-12-30 00:00:00,212,1
37,2020-12-30 00:00:00,239,1
38,2020-12-30 00:00:00,245,1
39,2020-12-30 00:00:00,269,1
40,2020-12-30 00:00:00,272,1
41,2020-12-30 00:00:00,281,1
42,2020-12-30 00:00:00,282,1
43,2020-12-30 00:00:00,288,1
44,2020-12-30 00:00:00,351,1
45,2020-12-30 00:00:00,455,1
46,2020-12-30 00:00:00,462,1
47,2020-12-30 00:00:00,469,1
48,2020-12-30 00:00:00,472,1
49,2020-12-30 00:00:00,475,1
50,2020-12-30 00:00:00,483,1
51,2020-12-30 00:00:00,489,1
52,2020-12-30 00:00:00,495,1
53,2020-12-30 00:00:00,496,1
54,2020-12-30 00:00:00,498,1
55,2020-12-30 00:00:00,500,1
56,2020-12-30 00:00:00,511,1
57,2020-12-30 00:00:00,516,1
58,2020-12-30 00:00:00,527,1
59,2020-12-30 00:00:00,529,1
60,2020-12-30 00:00:00,531,1
61,2020-12-30 00:00:00,533,1
62,2020-12-30 00:00:00,545,1
63,2020-12-30 00:00:00,564,1
64,2020-12-30 00:00:00,624,1
65,2020-12-30 00:00:00,626,1
66,2020-12-30 00:00:00,635,1
67,2020-12-30 00:00:00,636,1
68,2020-12-30 00:00:00,680,1
69,2020-12-30 00:00:00,699,1
70,2020-12-30 00:00:00,700,1
71,2020-12-30 00:00:00,710,1
72,2020-12-30 00:00:00,715,1
73,2020-12-30 00:00:00,716,1
