Start Date,counts
2020-12-30 00:00:00,131
2020-12-30 01:00:00,54
2020-12-30 02:00:00,36
2020-12-30 03:00:00,30
2020-12-30 04:00:00,28
2020-12-30 05:00:00,41
2020-12-30 06:00:00,117
2020-12-30 07:00:00,261
2020-12-30 08:00:00,390
2020-12-30 09:00:00,541
2020-12-30 10:00:00,830
2020-12-30 11:00:00,1247
2020-12-30 12:00:00,1645
2020-12-30 13:00:00,1962
2020-12-30 14:00:00,2035
2020-12-30 15:00:00,2026
2020-12-30 16:00:00,1577
2020-12-30 17:00:00,1080
2020-12-30 18:00:00,909
2020-12-30 19:00:00,751
2020-12-30 20:00:00,448
2020-12-30 21:00:00,363
2020-12-30 22:00:00,241
2020-12-30 23:00:00,139
2020-12-31 00:00:00,117
2020-12-31 01:00:00,77
2020-12-31 02:00:00,47
2020-12-31 03:00:00,48
2020-12-31 04:00:00,37
2020-12-31 05:00:00,37
2020-12-31 06:00:00,109
2020-12-31 07:00:00,264
2020-12-31 08:00:00,376
2020-12-31 09:00:00,529
2020-12-31 10:00:00,689
2020-12-31 11:00:00,1062
2020-12-31 12:00:00,1340
2020-12-31 13:00:00,1532
2020-12-31 14:00:00,1538
2020-12-31 15:00:00,1562
2020-12-31 16:00:00,1235
2020-12-31 17:00:00,849
2020-12-31 18:00:00,707
2020-12-31 19:00:00,610
2020-12-31 20:00:00,472
2020-12-31 21:00:00,457
2020-12-31 22:00:00,496
2020-12-31 23:00:00,642
2021-01-01 00:00:00,551
2021-01-01 01:00:00,400
2021-01-01 02:00:00,248
2021-01-01 03:00:00,189
2021-01-01 04:00:00,110
2021-01-01 05:00:00,71
2021-01-01 06:00:00,64
2021-01-01 07:00:00,90
2021-01-01 08:00:00,158
2021-01-01 09:00:00,204
2021-01-01 10:00:00,356
2021-01-01 11:00:00,575
2021-01-01 12:00:00,900
2021-01-01 13:00:00,1143
2021-01-01 14:00:00,1255
2021-01-01 15:00:00,1205
2021-01-01 16:00:00,980
2021-01-01 17:00:00,630
2021-01-01 18:00:00,459
2021-01-01 19:00:00,408
2021-01-01 20:00:00,294
2021-01-01 21:00:00,241
2021-01-01 22:00:00,162
2021-01-01 23:00:00,136
2021-01-02 00:00:00,71
2021-01-02 01:00:00,38
2021-01-02 02:00:00,33
2021-01-02 03:00:00,30
2021-01-02 04:00:00,24
2021-01-02 05:00:00,35
2021-01-02 06:00:00,55
2021-01-02 07:00:00,93
2021-01-02 08:00:00,210
2021-01-02 09:00:00,366
2021-01-02 10:00:00,616
2021-01-02 11:00:00,1099
2021-01-02 12:00:00,1711
2021-01-02 13:00:00,2457
2021-01-02 14:00:00,2680
2021-01-02 15:00:00,2419
2021-01-02 16:00:00,1751
2021-01-02 17:00:00,1049
2021-01-02 18:00:00,731
2021-01-02 19:00:00,576
2021-01-02 20:00:00,532
2021-01-02 21:00:00,313
2021-01-02 22:00:00,269
2021-01-02 23:00:00,158
2021-01-03 00:00:00,132
2021-01-03 01:00:00,79
2021-01-03 02:00:00,40
2021-01-03 03:00:00,18
2021-01-03 04:00:00,19
2021-01-03 05:00:00,14
2021-01-03 06:00:00,46
2021-01-03 07:00:00,110
2021-01-03 08:00:00,168
2021-01-03 09:00:00,339
2021-01-03 10:00:00,718
2021-01-03 11:00:00,1155
2021-01-03 12:00:00,1766
2021-01-03 13:00:00,2251
2021-01-03 14:00:00,2300
2021-01-03 15:00:00,1161
2021-01-03 16:00:00,947
2021-01-03 17:00:00,559
2021-01-03 18:00:00,452
2021-01-03 19:00:00,371
2021-01-03 20:00:00,298
2021-01-03 21:00:00,234
2021-01-03 22:00:00,171
2021-01-03 23:00:00,100
2021-01-04 00:00:00,88
2021-01-04 01:00:00,57
2021-01-04 02:00:00,39
2021-01-04 03:00:00,24
2021-01-04 04:00:00,23
2021-01-04 05:00:00,58
2021-01-04 06:00:00,263
2021-01-04 07:00:00,685
2021-01-04 08:00:00,817
2021-01-04 09:00:00,536
2021-01-04 10:00:00,410
2021-01-04 11:00:00,421
2021-01-04 12:00:00,529
2021-01-04 13:00:00,585
2021-01-04 14:00:00,586
2021-01-04 15:00:00,789
2021-01-04 16:00:00,927
2021-01-04 17:00:00,1033
2021-01-04 18:00:00,879
2021-01-04 19:00:00,600
2021-01-04 20:00:00,318
2021-01-04 21:00:00,281
2021-01-04 22:00:00,213
2021-01-04 23:00:00,110
2021-01-05 00:00:00,76
2021-01-05 01:00:00,41
2021-01-05 02:00:00,48
2021-01-05 03:00:00,32
2021-01-05 04:00:00,34
2021-01-05 05:00:00,64
2021-01-05 06:00:00,263
2021-01-05 07:00:00,662
2021-01-05 08:00:00,800
2021-01-05 09:00:00,558
2021-01-05 10:00:00,452
2021-01-05 11:00:00,499
2021-01-05 12:00:00,601
2021-01-05 13:00:00,606
2021-01-05 14:00:00,573
2021-01-05 15:00:00,550
2021-01-05 16:00:00,638
2021-01-05 17:00:00,801
2021-01-05 18:00:00,827
2021-01-05 19:00:00,515
2021-01-05 20:00:00,307
2021-01-05 21:00:00,258
2021-01-05 22:00:00,157
2021-01-05 23:00:00,62
