,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,Slat,Slon,Elat,Elon
0,01/01/2021 00:08,641,"Archbishop's Park, Waterloo",21-01-01 00:00,815,"Lambeth Palace Road, Waterloo",51.5000892,-0.116628701,51.49824168,-0.117495865
1,01/01/2021 00:42,449,"Shadwell Station, Shadwell",21-01-01 00:00,445,"Cheshire Street, Bethnal Green",51.52388,-0.065076,51.511088,-0.057159
2,01/01/2021 00:16,442,"Walmer Road, Avondale",21-01-01 00:01,37,"Penywern Road, Earl's Court",51.49159394,-0.192369256,51.510101,-0.211358
3,01/01/2021 00:38,610,"Danvers Street, West Chelsea",21-01-01 00:01,610,"Danvers Street, West Chelsea",51.48256792,-0.172078187,51.48256792,-0.172078187
4,01/01/2021 00:05,108,"Abbey Orchard Street, Westminster",21-01-01 00:01,360,"Howick Place, Westminster",51.49675303,-0.138733562,51.49812559,-0.132102166
5,01/01/2021 00:05,108,"Abbey Orchard Street, Westminster",21-01-01 00:01,360,"Howick Place, Westminster",51.49675303,-0.138733562,51.49812559,-0.132102166
6,01/01/2021 00:38,610,"Danvers Street, West Chelsea",21-01-01 00:02,610,"Danvers Street, West Chelsea",51.48256792,-0.172078187,51.48256792,-0.172078187
7,01/01/2021 00:38,610,"Danvers Street, West Chelsea",21-01-01 00:03,610,"Danvers Street, West Chelsea",51.48256792,-0.172078187,51.48256792,-0.172078187
8,01/01/2021 03:44,309,"Embankment (Savoy), Strand",21-01-01 00:03,388,"Southampton Street, Strand",51.51070161,-0.121723604,51.50963123,-0.119047563
9,01/01/2021 01:55,85,"Tanner Street, Bermondsey",21-01-01 00:04,388,"Southampton Street, Strand",51.51070161,-0.121723604,51.50064702,-0.078600401
10,01/01/2021 00:05,433,"Wren Street, Holborn",21-01-01 00:04,204,"Margery Street, Clerkenwell",51.52659961,-0.112432615,51.524564,-0.116279
11,01/01/2021 00:27,142,"West Cromwell Road, Earl's Court",21-01-01 00:04,142,"West Cromwell Road, Earl's Court",51.49372451,-0.198286569,51.49372451,-0.198286569
18,01/01/2021 00:16,64,"William IV Street, Strand",21-01-01 00:05,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50946212,-0.124749274
17,01/01/2021 00:17,64,"William IV Street, Strand",21-01-01 00:05,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50946212,-0.124749274
16,01/01/2021 00:17,64,"William IV Street, Strand",21-01-01 00:05,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50946212,-0.124749274
19,01/01/2021 00:27,142,"West Cromwell Road, Earl's Court",21-01-01 00:05,142,"West Cromwell Road, Earl's Court",51.49372451,-0.198286569,51.49372451,-0.198286569
14,01/01/2021 00:24,181,"Belgrave Square, Belgravia",21-01-01 00:05,818,"Westminster Pier, Westminster",51.501513,-0.12382322,51.49941247,-0.152317537
13,01/01/2021 00:24,181,"Belgrave Square, Belgravia",21-01-01 00:05,818,"Westminster Pier, Westminster",51.501513,-0.12382322,51.49941247,-0.152317537
12,01/01/2021 00:20,483,"Albert Gardens, Stepney",21-01-01 00:05,556,"Heron Quays DLR, Canary Wharf",51.502661,-0.021596,51.51328,-0.047784
15,01/01/2021 00:17,64,"William IV Street, Strand",21-01-01 00:05,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50946212,-0.124749274
20,01/01/2021 00:28,450,"Jubilee Street, Stepney",21-01-01 00:06,136,"Queen Victoria Street, St. Paul's",51.51196176,-0.097441687,51.515975,-0.053177
21,01/01/2021 03:44,309,"Embankment (Savoy), Strand",21-01-01 00:06,388,"Southampton Street, Strand",51.51070161,-0.121723604,51.50963123,-0.119047563
22,01/01/2021 00:23,842,"Temple Gardens, Temple",21-01-01 00:06,276,"Lower Thames Street, Monument",51.50930161,-0.084985356,51.510981,-0.10832249
23,01/01/2021 00:23,842,"Temple Gardens, Temple",21-01-01 00:06,276,"Lower Thames Street, Monument",51.50930161,-0.084985356,51.510981,-0.10832249
24,01/01/2021 00:23,842,"Temple Gardens, Temple",21-01-01 00:06,276,"Lower Thames Street, Monument",51.50930161,-0.084985356,51.510981,-0.10832249
25,01/01/2021 00:17,115,"Braham Street, Aldgate",21-01-01 00:06,278,"Tooley Street, Bermondsey",51.5034938,-0.07962099,51.51423368,-0.073537654
29,01/01/2021 00:24,842,"Temple Gardens, Temple",21-01-01 00:07,276,"Lower Thames Street, Monument",51.50930161,-0.084985356,51.510981,-0.10832249
28,01/01/2021 00:14,269,"Empire Square, The Borough",21-01-01 00:07,230,"Poured Lines, Bankside",51.50669284,-0.103137426,51.50082346,-0.089740764
27,01/01/2021 00:35,97,"Gloucester Road (North), Kensington",21-01-01 00:07,762,"Storey's Gate, Westminster",51.50070305,-0.129698963,51.49792478,-0.183834706
26,01/01/2021 00:36,97,"Gloucester Road (North), Kensington",21-01-01 00:07,762,"Storey's Gate, Westminster",51.50070305,-0.129698963,51.49792478,-0.183834706
30,01/01/2021 00:33,668,"Ravenscourt Park Station, Hammersmith",21-01-01 00:08,668,"Ravenscourt Park Station, Hammersmith",51.49422354,-0.236769936,51.49422354,-0.236769936
31,01/01/2021 00:33,668,"Ravenscourt Park Station, Hammersmith",21-01-01 00:08,668,"Ravenscourt Park Station, Hammersmith",51.49422354,-0.236769936,51.49422354,-0.236769936
32,01/01/2021 00:36,130,"Tower Gardens , Tower",21-01-01 00:08,130,"Tower Gardens , Tower",51.50950627,-0.075459482,51.50950627,-0.075459482
33,01/01/2021 00:36,130,"Tower Gardens , Tower",21-01-01 00:08,130,"Tower Gardens , Tower",51.50950627,-0.075459482,51.50950627,-0.075459482
34,01/01/2021 00:33,475,"Lightermans Road, Millwall",21-01-01 00:08,475,"Lightermans Road, Millwall",51.499041,-0.020157,51.499041,-0.020157
35,01/01/2021 00:33,475,"Lightermans Road, Millwall",21-01-01 00:08,475,"Lightermans Road, Millwall",51.499041,-0.020157,51.499041,-0.020157
36,01/01/2021 01:40,775,"Little Brook Green, Brook Green",21-01-01 00:08,132,"Bethnal Green Road, Shoreditch",51.52364804,-0.074754872,51.496664,-0.223868
