date,StartStation Name,cnt
01/01/2021,"Hyde Park Corner, Hyde Park",157
01/01/2021,"Wellington Arch, Hyde Park",108
01/01/2021,"Westminster Pier, Westminster",104
01/01/2021,"Serpentine Car Park, Hyde Park",78
01/01/2021,"Triangle Car Park, Hyde Park",77
01/01/2021,"Battersea Power Station, Battersea Park",71
01/01/2021,"Tower Gardens , Tower",70
01/01/2021,"Duke Street Hill, London Bridge",68
01/01/2021,"Whitehall Place, Strand",62
01/01/2021,"Lambeth Palace Road, Waterloo",56
01/01/2021,"Albert Gate, Hyde Park",52
01/01/2021,"Bayswater Road, Hyde Park",52
01/01/2021,"Moor Street, Soho",52
01/01/2021,"Hop Exchange, The Borough",48
01/01/2021,"Palace Gate, Kensington Gardens",48
01/01/2021,"Black Lion Gate, Kensington Gardens",47
01/01/2021,"Ethelburga Estate, Battersea Park",47
01/01/2021,"Jubilee Gardens, South Bank",47
01/01/2021,"Prince Albert Road, The Regent's Park",47
01/01/2021,"Temple Gardens, Temple",47
01/01/2021,"Bonner Gate, Victoria Park",44
01/01/2021,"Green Park Station, Mayfair",44
01/01/2021,"Tooley Street, Bermondsey",44
01/01/2021,"Craven Street, Strand",43
01/01/2021,"Marylebone Lane, Marylebone",43
01/01/2021,"Millbank Tower, Pimlico",42
01/01/2021,"Northumberland Avenue, Strand",42
01/01/2021,"Storey's Gate, Westminster",41
01/01/2021,"Timber Lodge, Queen Elizabeth Olympic Park",40
01/01/2021,"Islington Green, Angel",39
01/01/2021,"Queen Victoria Street, St. Paul's",39
01/01/2021,"Aquatic Centre, Queen Elizabeth Olympic Park",38
01/01/2021,"London Zoo,  The Regent's Park",38
01/01/2021,"Panton Street, West End",38
01/01/2021,"Porchester Place, Paddington",38
01/01/2021,"William IV Street, Strand",38
01/01/2021,"Monument Street, Monument",37
01/01/2021,"Queen's Gate, Kensington Gardens",37
01/01/2021,"Warren Street Station, Euston",37
01/01/2021,"Little Argyll Street, West End",36
01/01/2021,"Oval Way, Vauxhall",36
01/01/2021,"Queen's Circus, Battersea Park",36
01/01/2021,"Regent's Row , Haggerston ",36
01/01/2021,"Castlehaven Road, Camden Town",35
01/01/2021,"Green Street, Mayfair",35
01/01/2021,"Saunders Ness Road, Cubitt Town",35
01/01/2021,"Waterloo Place, St. James's",35
01/01/2021,"Westferry Circus, Canary Wharf",35
01/01/2021,"Podium, Queen Elizabeth Olympic Park",34
01/01/2021,"Soho Square , Soho",34
01/01/2021,"Sutton Street, Shadwell",34
01/01/2021,"Allington Street, Victoria",33
01/01/2021,"Cadogan Close, Victoria Park",32
01/01/2021,"Jubilee Plaza, Canary Wharf",32
01/01/2021,"Bermondsey Street, Bermondsey",31
01/01/2021,"Bethnal Green Road, Shoreditch",31
01/01/2021,"Riverlight North, Nine Elms",31
01/01/2021,"Wellington Street , Strand",31
01/01/2021,"Flamborough Street, Limehouse",30
01/01/2021,"Kennington Lane Rail Bridge, Vauxhall",30
01/01/2021,"Park Road (Baker Street), The Regent's Park",30
01/01/2021,"Rotherhithe Roundabout, Rotherhithe",30
01/01/2021,"Belvedere Road 1, South Bank",29
01/01/2021,"Binfield Road, Stockwell",29
01/01/2021,"Chelsea Bridge, Pimlico",29
01/01/2021,"Graham Street, Angel",29
01/01/2021,"Hartington Road, Stockwell",29
01/01/2021,"Somerset House, Strand",29
01/01/2021,"South Lambeth Road, Vauxhall",29
01/01/2021,"Tate Modern, Bankside",29
01/01/2021,"Union Grove, Wandsworth Road",29
01/01/2021,"East Village, Queen Elizabeth Olympic Park",28
01/01/2021,"Exhibition Road, Knightsbridge",28
01/01/2021,"Stepney Green Station, Stepney",28
01/01/2021,"Embankment (Savoy), Strand",27
01/01/2021,"George Row, Bermondsey",27
01/01/2021,"Normandy Road, Stockwell",27
01/01/2021,"Pall Mall East, West End",27
01/01/2021,"Wardour Street, Soho",27
01/01/2021,"Buckingham Gate, Westminster",26
01/01/2021,"Danvers Street, West Chelsea",26
01/01/2021,"Queensway, Kensington Gardens",26
01/01/2021,"Riverlight South, Nine Elms",26
01/01/2021,"Saltoun Road, Brixton",26
01/01/2021,"Albert Bridge Road, Battersea Park",25
01/01/2021,"Ansell House, Stepney",25
01/01/2021,"Old Quebec Street, Marylebone",25
01/01/2021,"Prince of Wales Drive, Battersea Park",25
01/01/2021,"Brick Lane Market, Shoreditch",24
01/01/2021,"Doddington Grove, Kennington",24
01/01/2021,"Tanner Street, Bermondsey",24
01/01/2021,"Tavistock Street, Covent Garden",24
01/01/2021,"Walnut Tree Walk, Vauxhall",24
01/01/2021,"Wenlock Road , Hoxton",24
01/01/2021,"Charles II Street, West End",23
01/01/2021,"Derry Street, Kensington",23
01/01/2021,"Knightsbridge, Hyde Park",23
01/01/2021,"Lots Road, West Chelsea",23
01/01/2021,"Milroy Walk, South Bank",23
01/01/2021,"Queen Street 2, Bank",23
01/01/2021,"Shoreditch Park, Hoxton",23
01/01/2021,"Vauxhall Bridge , Pimlico",23
01/01/2021,"Wapping High Street, Wapping",23
01/01/2021,"Driffield Road, Old Ford",22
01/01/2021,"East India DLR, Blackwall",22
01/01/2021,"Grosvenor Road, Pimlico",22
01/01/2021,"Lancaster Gate , Bayswater",22
01/01/2021,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",22
01/01/2021,"Monier Road, Hackney Wick",22
01/01/2021,"Queen Street 1, Bank",22
01/01/2021,"Shadwell Station, Shadwell",22
01/01/2021,"South Kensington Station, South Kensington",22
01/01/2021,"St. Katharine's Way, Tower",22
01/01/2021,"The Vale, Chelsea",22
01/01/2021,"Warwick Avenue Station, Maida Vale",22
01/01/2021,"Wormwood Street, Liverpool Street",22
01/01/2021,"Cadogan Place, Knightsbridge",21
01/01/2021,"Central House, Aldgate",21
01/01/2021,"Clapham Common North Side, Clapham Common",21
01/01/2021,"Cleveland Way, Stepney",21
01/01/2021,"Granby Street, Shoreditch",21
01/01/2021,"Grove End Road, St. John's Wood",21
01/01/2021,"Hatton Wall, Holborn",21
01/01/2021,"Old Street Station, St. Luke's",21
01/01/2021,"Tysoe Street, Clerkenwell",21
01/01/2021,"Westbourne Grove, Bayswater",21
01/01/2021,"Abbey Orchard Street, Westminster",20
