name,stationid,lat,lon
"River Street , Clerkenwell",1,51.52916347,-0.109970527
"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246
"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692
"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687
"Sedding Street, Sloane Square",5,51.49313,-0.156876
"Broadcasting House, Marylebone",6,51.51811784,-0.144228881
"Charlbert Street, St. John's Wood",7,51.53430039,-0.1680743
"Maida Vale, Maida Vale",8,51.529857,-0.18348604
"New Globe Walk, Bankside",9,51.5073853,-0.096440751
"Park Street, Bankside",10,51.50597426,-0.092754157
"Brunswick Square, Bloomsbury",11,51.52395143,-0.122502346
"Malet Street, Bloomsbury",12,51.52168078,-0.130431727
"Scala Street, Fitzrovia",13,51.51991453,-0.136039674
"Belgrove Street , King's Cross",14,51.52994371,-0.123616824
"Great Russell Street, Bloomsbury",15,51.51772703,-0.127854211
"Cartwright Gardens , Bloomsbury",16,51.52635795,-0.125979294
"Hatton Wall, Holborn",17,51.5216612,-0.109006325
"Drury Lane, Covent Garden",18,51.51477076,-0.12221963
"Taviton Street, Bloomsbury",19,51.52505093,-0.131161087
"Drummond Street , Euston",20,51.527326,-0.13605286
"Lansdowne Drive, Hackney Central",21,51.539834,-0.062806212
"Northington Street , Holborn",22,51.5222641,-0.114079481
"Red Lion Square, Holborn",23,51.51943538,-0.119123345
"British Museum, Bloomsbury",24,51.51908011,-0.124678402
"Doric Way , Somers Town",25,51.5288338,-0.132250369
"Ampton Street , Clerkenwell",26,51.52728093,-0.11829517
"Bouverie Street, Temple",27,51.51382102,-0.107927706
"Bolsover Street, Fitzrovia",28,51.52351808,-0.143613641
"Hereford Road, Bayswater",29,51.513735,-0.193487
"Windsor Terrace, Hoxton",30,51.52915444,-0.093421615
"Fanshaw Street, Hoxton",31,51.52953709,-0.083353323
"Leonard Circus , Shoreditch",32,51.52469624,-0.084439283
"Central House, Aldgate",33,51.515231,-0.07015
"Pancras Road, King's Cross",34,51.5341235,-0.129386874
"De Vere Gardens, Kensington",36,51.50173726,-0.184980612
"Penywern Road, Earl's Court",37,51.49159394,-0.192369256
"Abingdon Villas, Kensington",38,51.4973875,-0.197245586
"Shoreditch High Street, Shoreditch",39,51.5263778,-0.078130921
"Commercial Street, Shoreditch",40,51.52127071,-0.0755789
"Pindar Street, Liverpool Street",41,51.520955,-0.083493552
"Wenlock Road , Hoxton",42,51.53099181,-0.093903825
"Crawford Street, Marylebone",43,51.52026,-0.157183945
"Bruton Street, Mayfair",44,51.51073687,-0.144165239
"Boston Place, Marylebone",45,51.522511,-0.162298
"Nesham Street, Wapping",46,51.507131,-0.06691
"Warwick Avenue Station, Maida Vale",47,51.52334476,-0.183846408
"Godliman Street, St. Paul's",48,51.51248445,-0.099141408
"Curzon Street, Mayfair",49,51.50706909,-0.145904427
"East Road, Hoxton",50,51.52867339,-0.087459376
"Finsbury Library , Finsbury",51,51.52671796,-0.104298194
"Roscoe Street, St. Luke's",52,51.52295439,-0.094934859
"Grafton Street, Mayfair",53,51.5099923,-0.143495266
"Golden Lane, Barbican",54,51.52174785,-0.094475072
"Finsbury Circus, Liverpool Street",55,51.51707521,-0.086685542
"Paddington Street, Marylebone",56,51.52058381,-0.154701411
"Guilford Street , Bloomsbury",57,51.52334672,-0.120202614
"New Inn Yard, Shoreditch",58,51.52452699,-0.079248081
"Lisson Grove, St. John's Wood",60,51.52644828,-0.172190727
"Great Dover Street, The Borough",61,51.49738251,-0.089446947
"Cotton Garden Estate, Kennington",62,51.4907579,-0.106323685
"Murray Grove , Hoxton",63,51.53089041,-0.089782579
"William IV Street, Strand",64,51.50946212,-0.124749274
"Holborn Circus, Holborn",66,51.51795029,-0.108657431
"Hatton Garden, Holborn",67,51.51882555,-0.108028472
"Theobald's Road , Holborn",68,51.52059681,-0.116688468
"Euston Road, Euston",69,51.5262363,-0.134407652
"Calshot Street , King's Cross",70,51.53136059,-0.117069978
"Newgate Street , St. Paul's",71,51.5154186,-0.098850915
"Farringdon Lane, Clerkenwell",72,51.52352001,-0.108340165
"Old Street Station, St. Luke's",73,51.52548,-0.089659871
"Vauxhall Cross, Vauxhall",74,51.48591714,-0.124469948
"Torrens Street, Angel",75,51.53219984,-0.105480698
"Longford Street, The Regent's Park",76,51.52559505,-0.144083893
"Russell Square Station, Bloomsbury",77,51.52341837,-0.124121774
"Sadlers Sports Centre, Finsbury",78,51.52486887,-0.099489485
"Arundel Street, Temple",79,51.511726,-0.11385596
"Webber Street , Southwark",80,51.50069361,-0.102091246
"Great Titchfield Street, Fitzrovia",81,51.52025302,-0.141327271
"Chancery Lane, Holborn",82,51.514274,-0.111257
"Panton Street, West End",83,51.50963938,-0.131510949
"Breams Buildings, Holborn",84,51.51593725,-0.111778348
"Tanner Street, Bermondsey",85,51.50064702,-0.078600401
"Sancroft Street, Vauxhall",86,51.48947903,-0.115156562
"Devonshire Square, Liverpool Street",87,51.51646835,-0.079684557
"Bayley Street , Bloomsbury",88,51.51858757,-0.132053392
"Tavistock Place, Bloomsbury",89,51.5262503,-0.123509611
"Harrington Square 1, Camden Town",90,51.53301907,-0.139174593
"Walnut Tree Walk, Vauxhall",91,51.49368637,-0.111014912
"Borough Road, Elephant & Castle",92,51.49889832,-0.100440521
"Cloudesley Road, Angel",93,51.53440868,-0.109025404
"Bricklayers Arms, Borough",94,51.49506109,-0.085814489
"Aldersgate Street, Barbican",95,51.5208417,-0.097340162
"Falkirk Street, Hoxton",96,51.53095071,-0.078505384
"Gloucester Road (North), Kensington",97,51.49792478,-0.183834706
"Hampstead Road, Euston",98,51.52554222,-0.138231303
"Old Quebec Street, Marylebone",99,51.51457763,-0.158264483
"Albert Embankment, Vauxhall",100,51.49043573,-0.122806861
"Queen Street 1, Bank",101,51.51155322,-0.0929401
"Jewry Street, Aldgate",102,51.51340693,-0.076793375
"Vicarage Gate, Kensington",103,51.50472376,-0.192538767
"Crosswall, Tower",104,51.51159481,-0.077121322
"Westbourne Grove, Bayswater",105,51.51552971,-0.190240716
"Woodstock Street, Mayfair",106,51.51410514,-0.147301667
"Finsbury Leisure Centre, St. Luke's",107,51.52600832,-0.096317627
"Abbey Orchard Street, Westminster",108,51.49812559,-0.132102166
"Soho Square , Soho",109,51.51563144,-0.132328837
"Wellington Road, St. John's Wood",110,51.53304322,-0.172528678
"Park Lane , Hyde Park",111,51.5100172,-0.157275636
"Gloucester Road (Central), South Kensington",113,51.49646288,-0.183289032
"Park Road (Baker Street), The Regent's Park",114,51.52451738,-0.158963647
"Braham Street, Aldgate",115,51.51423368,-0.073537654
"Little Argyll Street, West End",116,51.51449962,-0.141423695
"Lollard Street, Vauxhall",117,51.49288067,-0.114934001
"Rochester Row, Westminster",118,51.49582705,-0.13547809
"Bath Street, St. Luke's",119,51.52589324,-0.090847761
"The Guildhall, Guildhall",120,51.51573534,-0.093080779
"Baker Street, Marylebone",121,51.51891348,-0.156166631
"Norton Folgate, Liverpool Street",122,51.52111369,-0.078869751
"St. John Street, Finsbury",123,51.52836014,-0.104724625
"Eaton Square, Belgravia",124,51.49654462,-0.150905245
"Borough High Street, The Borough",125,51.50069491,-0.094524319
"Museum of London, Barbican",126,51.51782144,-0.096496865
"Wood Street, Guildhall",127,51.51700801,-0.09388536
"Emperor's Gate, South Kensington",128,51.49536226,-0.185296516
"Golden Square, Soho",129,51.5118973,-0.137043852
"Tower Gardens , Tower",130,51.50950627,-0.075459482
"Eversholt Street , Camden Town",131,51.53300545,-0.136792671
"Bethnal Green Road, Shoreditch",132,51.52364804,-0.074754872
"Derry Street, Kensington",133,51.50136494,-0.191462381
"Wapping High Street, Wapping",134,51.504904,-0.06797
"Clerkenwell Green, Clerkenwell",135,51.52326004,-0.104708922
"Queen Victoria Street, St. Paul's",136,51.51196176,-0.097441687
"Green Street, Mayfair",138,51.51227622,-0.157436972
"Lambeth Road, Vauxhall",139,51.49488108,-0.117974901
"Finsbury Square , Moorgate",140,51.52096262,-0.085634242
"Chapel Place, Marylebone",141,51.51530805,-0.147203711
"West Cromwell Road, Earl's Court",142,51.49372451,-0.198286569
"Pont Street, Knightsbridge",143,51.4968865,-0.161203828
"Kennington Cross, Kennington",144,51.48894022,-0.111435796
"Ilchester Place, Kensington",145,51.50074359,-0.202759212
"Vauxhall Bridge , Pimlico",146,51.48836528,-0.129361842
"Tachbrook Street, Victoria",148,51.49211134,-0.138364847
"Kennington Road Post Office, Oval",149,51.48478899,-0.110683213
"Holy Trinity Brompton, Knightsbridge",150,51.49705603,-0.168917077
"Chepstow Villas, Notting Hill",151,51.51213691,-0.201554966
